"Area","Date","Sales","DollarVolume","AveragePrice","MedianPrice","TotalListings","MonthsInventory","SingleFamily_NumberOfDwellingUnits","SingleFamily_AverageValuePerDwellingUnit","TotalEmployment","UnemploymentRate"
"Austin",1990,7068,579669083,82013,72252,4412,6.5,1916,118300,454725,4.87
"Austin",1991,7485,661674435,88400,75865,3552,4.6,2994,105900,468318,4.47
"Austin",1992,8389,832936284,99289,82929,3020,3.6,4641,98600,495991,4.2
"Austin",1993,9784,1076687995,110046,90949,2860,3.2,6369,108200,527538,3.62
"Austin",1994,10418,1207051547,115862,95158,3645,3.9,6250,106200,561842,3.21
"Austin",1995,11291,1369678517,121307,100025,3778,3.8,7435,103500,591878,2.92
"Austin",1996,12406,1596046324,128651,107884,5126,4.9,10095,104000,614368,3.03
"Austin",1997,12253,1689013906,137845,111819,5344,4.3,8456,104400,634548,3.03
"Austin",1998,15338,2242981948,146237,117207,4318,2.7,10805,105400,661137,2.67
"Austin",1999,17845,2861183503,160335,125888,3292,1.7,11704,119500,693960,2.26
"Austin",2000,18321,3463650266,189054,143550,3002,2.2,13045,127500,716708,2.98
"Austin",2001,18095,3460875038,191261,149611,6500,4.1,9115,126300,718832,4.29
"Austin",2002,18414,3599936185,195500,153545,8163,5.3,11072,132400,713585,5.87
"Austin",2003,19469,3796405051,194997,153836,9669,5.5,12116,118400,718725,5.97
"Austin",2004,22193,4370233331,196919,153198,9723,4.4,14309,127600,737792,5.04
"Austin",2005,26448,5523790409,208855,160701,8297,3.2,17346,142700,764752,4.61
"Austin",2006,29767,6815921279,228976,171272,8028,2.9,17615,144900,789135,4.2
"Austin",2007,27571,6783518944,246038,183292,9163,4,12120,170600,813165,3.73
"Austin",2008,22068,5369952456,243337,187319,10911,5.1,7710,174000,828013,4.35
"Austin",2009,20407,4830082305,236688,185150,10131,5.1,6678,161400,827642,6.88
"Austin",2010,19547,4819525215,246561,189356,10906,5.3,6200,172500,866291,7.04
"Austin",2011,20978,5238195859,249699,189025,9068,3.9,6231,179300,894673,6.81
"Austin",2012,25137,6676044972,265586,202500,7020,2.4,8261,179800,929711,5.65
"Austin",2013,29904,8559148559,286221,220000,5443,1.8,8954,206900,964166,5.23
"Austin",2014,30064,9212671815,306435,239900,5653,2,11842,223000,1001470,4.27
"Austin",2015,31308,10331554579,329997,260000,5825,1.9,11857,227300,1036980,3.4
"Austin",2016,32572,11286339030,346504,280000,6267,2,13327,232300,1082392,3.28
"Austin",2017,33821,12368559672,365707,294750,7152,2.1,16119,229900,1113688,3.17
"Austin",2018,34639,13152847373,379712,305000,7302,2.2,17665,239000,1153410,2.97
"Austin",2019,37040,14561824542,393138,315000,6901,1.7,18426,239200,1191264,2.72
"Austin",2020,40309,17634838077,437491,343990,4532,0.6,23134,221000,1159288,6.2
"Austin",2021,41077,23304058609,567326,451500,2311,0.6,25174,240100,1253061,4.06
"Houston",1990,32488,2866481369,88232,63971,23743,8.1,10963,102600,1928427,5.1
"Houston",1991,31396,2821973892,89883,71515,23180,7.6,13535,101800,1961993,5.72
"Houston",1992,29065,2816975038,96920,77311,25003,9.1,15159,104000,1981470,7.2
"Houston",1993,29745,3114826933,104718,78943,25259,8.8,15661,104800,2014052,7.38
"Houston",1994,31281,3255415873,104070,77199,24519,8.2,15762,101300,2059878,6.65
"Houston",1995,32264,3351318548,103872,77266,23239,7.6,15873,104400,2102518,5.94
"Houston",1996,35657,3959562959,111046,82245,22516,6.6,19463,104600,2132027,5.51
"Houston",1997,39314,4695784630,119443,88402,20176,5.3,20854,115300,2189267,5.23
"Houston",1998,47144,5988188000,127019,94193,15919,3.4,25414,123800,2260634,4.38
"Houston",1999,49725,6790672976,136565,101110,14782,3.5,25617,129200,2282260,4.75
"Houston",2000,50716,7770794697,153222,113708,16965,4,28169,137000,2282357,4.23
"Houston",2001,52067,8264338332,158725,121906,19577,4.3,30490,133100,2317519,4.61
"Houston",2002,54685,9197366075,168188,130058,22800,5.3,34685,130400,2346876,6.03
"Houston",2003,58724,10109543509,172154,133598,28304,5.6,42040,127000,2365870,6.71
"Houston",2004,64764,11437204919,176598,134922,32349,5.7,45092,131000,2396750,6.13
"Houston",2005,70397,13138423844,186633,142354,34084,5.2,51202,131200,2456800,5.67
"Houston",2006,78326,15412601370,196775,149461,34306,5.1,55159,142300,2526751,5.06
"Houston",2007,75110,15404821976,205097,152851,39139,6,42217,156600,2589040,4.3
"Houston",2008,63015,13072645160,207453,152781,37272,5.7,28188,166900,2640498,4.76
"Houston",2009,58116,11735429637,201931,152958,30244,5.9,22369,159400,2625231,7.54
"Houston",2010,54922,11546779015,210240,153695,35143,7.3,22328,171900,2727403,8.32
"Houston",2011,58182,12315404845,211670,154500,33040,5.6,22887,189400,2794837,8.07
"Houston",2012,67777,15121772565,223111,164000,25512,3.6,28624,185700,2900976,6.56
"Houston",2013,79608,19665916824,247034,180000,19120,2.5,34543,173700,2983316,6.07
"Houston",2014,81642,21878703110,267983,198000,17178,2.3,38319,184800,3072718,5.02
"Houston",2015,79950,22181013269,277436,210000,20084,3,36786,181400,3107962,4.64
"Houston",2016,81895,22956119784,280312,220000,23763,3.3,35367,181100,3125996,5.29
"Houston",2017,84079,24300047278,289014,228000,25668,3.1,36348,195400,3142202,5.05
"Houston",2018,87080,25847430393,296824,235000,26012,3.4,40511,179700,3202853,4.37
"Houston",2019,90771,27657007013,304690,245000,27713,3.2,39507,181200,3257564,3.82
"Houston",2020,99249,31998948239,322411,260000,21885,1.9,50175,211700,3091352,8.65
"Houston",2021,111433,41551310608,372882,300000,14123,1.4,52740,229000,3205107,6.41
